 Element ID, Tensor(Element Stresses (2D & 3D)),
57603,1.235E-01 1.478E-01 7.456E-02 1.578E-02 6.013E-03 7.155E-04 ,
57602,-7.688E-03 -1.558E-02 -2.662E-02 -3.148E-02 3.589E-03 -5.746E-03 ,
57601,-9.276E-01 -2.081E-01 -5.146E-01 -1.581E-01 9.168E-02 1.041E-01 ,
57600,4.061E-01 4.564E-02 -8.297E-02 2.890E-01 5.238E-03 -2.477E-02 ,
57599,-3.760E+00 -1.251E+00 -1.763E+00 1.975E-01 -5.953E-02 1.455E-01 ,
57598,5.223E-01 6.487E-02 7.058E-02 2.610E-01 3.756E-03 -2.803E-03 ,
57597,-2.058E-01 2.133E-02 -5.668E-02 -1.211E-01 1.643E-02 2.448E-02 ,
57596,3.995E-01 -2.390E-02 7.605E-02 -2.745E-02 -1.129E-02 3.256E-03 ,
57595,5.474E-01 9.402E-04 1.366E-01 3.800E-02 1.471E-02 -1.816E-02 ,
57594,-3.059E-01 3.683E-02 -1.467E-01 4.196E-02 9.689E-03 6.412E-04 ,
57593,6.158E-02 -5.325E-02 -1.479E-01 1.689E-01 -5.774E-03 -1.141E-03 ,
57592,2.120E-01 4.536E-02 -6.432E-03 1.619E-01 1.154E-02 4.380E-04 ,
57591,1.044E+00 6.690E-01 4.047E-01 4.425E-01 -3.392E-02 -5.334E-02 ,
57590,-2.101E-01 2.679E-01 1.148E-02 4.139E-01 1.171E-03 -3.035E-02 ,
57589,3.751E-02 -1.798E-01 2.331E-02 6.204E-02 -1.606E-02 9.340E-03 ,
57588,-6.090E-03 8.992E-02 -1.828E-01 2.734E-01 -5.117E-02 1.986E-02 ,
57587,6.554E-01 1.099E+00 5.186E-01 5.123E-01 9.725E-02 9.065E-02 ,
57586,8.366E-02 9.921E-02 1.251E-01 -1.608E-01 -2.301E-02 -3.047E-02 ,
57585,4.360E-02 -8.387E-02 6.498E-02 -1.714E-01 5.813E-03 8.099E-03 ,
57584,-1.026E+00 -1.186E-01 -1.682E-01 1.231E-01 -1.081E-02 -1.391E-02 ,
57583,-7.707E-01 1.682E-01 1.627E-01 -3.864E-02 -2.895E-02 -3.942E-02 ,
57582,3.481E-01 1.109E-01 -7.288E-02 3.504E-01 1.669E-02 2.076E-02 ,
57581,-8.345E-01 -2.200E-01 -2.675E-01 3.384E-02 1.205E-02 -2.654E-02 ,
57580,2.012E-01 1.372E-01 9.906E-02 7.060E-02 2.396E-03 4.288E-03 ,
57579,2.070E-01 -3.226E-01 9.784E-02 -1.170E-01 -1.078E-03 -1.087E-02 ,
57578,3.482E-01 4.757E-01 -2.937E-01 4.869E-01 -1.965E-02 -1.417E-01 ,
57577,9.038E-04 -1.076E-01 8.379E-02 1.512E-01 4.410E-02 4.814E-03 ,
57576,2.369E-01 2.713E-01 -4.821E-02 4.844E-01 -3.439E-02 -7.290E-02 ,
57575,1.227E+00 7.361E-01 3.703E-01 5.511E-01 -6.487E-02 -6.763E-02 ,
57574,-1.089E-01 -5.844E-01 -3.421E-01 -4.005E-01 1.869E-02 1.222E-03 ,
57573,1.279E+00 1.087E+00 7.087E-01 5.763E-02 -8.505E-03 -3.036E-03 ,
57572,-1.094E-01 -6.640E-01 -3.766E-01 -4.625E-01 1.166E-02 1.586E-02 ,
57571,-4.186E-01 2.900E-01 1.941E-01 4.432E-02 -6.593E-03 -2.731E-03 ,
57570,2.279E-01 3.807E-01 9.072E-02 3.868E-01 2.193E-03 8.164E-02 ,
57569,5.011E-01 5.949E-01 2.184E-01 5.572E-01 1.014E-02 2.772E-02 ,
57568,-4.813E-02 -6.013E-02 -2.876E-02 2.219E-01 1.932E-03 1.002E-03 ,
57567,-9.429E-01 -8.386E-01 -4.776E-01 5.076E-01 -8.543E-02 3.339E-02 ,
57566,-3.074E-03 3.072E-03 -2.105E-02 -5.990E-03 1.088E-04 -1.120E-03 ,
57565,3.254E-01 3.059E-01 -5.902E-02 5.151E-01 -5.112E-02 -6.453E-02 ,
57564,-2.959E-02 -2.243E-01 -7.138E-02 2.647E-01 1.145E-02 2.705E-02 ,
57563,5.107E-03 2.710E-03 -3.075E-02 -6.381E-02 -2.876E-03 7.264E-03 ,
57562,-6.983E-01 3.064E-01 -4.998E-02 5.015E-02 -3.705E-03 3.882E-02 ,
57561,4.945E-02 2.250E-02 1.202E-01 -1.300E-01 4.420E-03 1.764E-02 ,
57560,-2.211E-01 -1.176E-01 -5.168E-02 -2.211E-01 5.646E-03 -4.270E-03 ,
57559,6.471E-02 -2.955E-01 7.647E-03 -2.050E-01 -4.000E-03 1.715E-02 ,
57558,-4.373E-02 9.355E-01 2.961E-01 -5.067E-01 -1.370E-01 -4.084E-02 ,
57557,-5.958E-02 7.499E-02 -3.030E-02 -5.679E-02 -1.216E-03 8.492E-03 ,
57556,-2.676E-01 3.176E-01 -2.086E-01 -1.801E-01 1.190E-02 -1.979E-02 ,
57555,2.009E-02 -3.497E-01 -3.573E-03 -1.302E-01 7.728E-03 1.139E-03 ,
57554,2.004E-02 2.325E-01 7.309E-02 3.155E-02 1.038E-02 -8.664E-03 ,
57553,4.501E-01 -5.803E-02 -3.103E-02 2.992E-01 1.216E-03 2.919E-03 ,
57552,3.887E-02 3.441E-01 -7.216E-02 4.356E-01 9.049E-03 -6.563E-03 ,
57551,-4.715E-01 -2.465E-02 -2.232E-01 1.865E-01 4.151E-04 -7.227E-03 ,
57550,3.272E-01 6.159E-03 -1.033E-02 1.949E-01 -1.034E-02 -4.583E-03 ,
57549,3.442E-01 1.920E-01 2.138E-01 -4.211E-01 -4.137E-02 2.964E-02 ,
57548,-7.569E-03 6.034E-01 1.217E-01 1.300E-01 6.248E-03 -9.336E-03 ,
57547,1.136E-01 -6.586E-02 -7.336E-02 2.142E-01 -3.581E-02 -2.892E-04 ,
57546,-1.573E-01 4.817E-01 -1.470E-02 4.660E-01 -9.970E-03 1.918E-03 ,
57545,-8.000E-01 -2.103E-01 -2.055E-01 -2.630E-01 -3.215E-02 5.053E-04 ,
57544,-6.668E-02 -3.778E-01 -1.020E-01 -2.008E-01 3.533E-03 -1.736E-02 ,
