 Element ID, Tensor(Element Stresses (2D & 3D)),
232,-1.330E+01 -3.102E+01 -1.330E+01 -2.618E+00 2.248E+01 0.000E+00 ,
233,2.326E+00 -1.936E+01 -3.885E-01 -6.937E-01 3.801E+00 7.339E-01 ,
234,-2.114E+00 -1.788E+01 -2.410E+00 -1.396E+00 5.163E+00 -8.007E-01 ,
235,9.396E+00 9.659E+01 1.803E+00 -5.208E-01 1.863E+00 -1.572E+00 ,
236,-2.075E+00 -1.613E+01 -1.023E+01 2.646E+00 4.493E+01 1.395E-01 ,
237,1.150E+00 -1.428E+01 4.230E-01 -2.509E+00 2.173E+00 -8.802E-02 ,
238,-1.314E-01 -2.057E+01 6.159E+00 7.816E-01 3.405E+01 -5.365E-01 ,
239,1.292E+00 -1.192E+01 1.233E+00 -2.489E+00 2.618E+00 1.397E-01 ,
240,1.238E+00 -1.498E+01 -1.512E+00 -3.110E+00 3.691E+00 1.610E-01 ,
241,3.886E+00 8.280E+01 2.611E+00 5.437E-01 1.496E+00 1.037E+00 ,
242,2.267E+00 -1.001E+00 -1.040E+01 -6.484E-01 3.103E+00 2.273E+00 ,
243,5.807E-01 -3.024E+01 2.524E+00 3.015E-01 3.041E+01 -1.266E+00 ,
244,1.415E-01 -2.080E+01 7.778E-01 4.298E-01 2.830E+01 -1.494E+00 ,
245,6.068E-01 -2.546E+01 -6.406E-01 3.215E+00 4.316E+00 3.778E-01 ,
246,3.118E+00 -1.950E+01 -1.150E+00 9.952E-01 3.420E+00 -8.025E-02 ,
247,3.973E+00 -7.005E-02 2.963E-01 -2.561E-01 7.316E-01 -1.332E+00 ,
248,-4.904E-01 -8.586E+00 -1.697E+00 -1.767E+00 3.406E+00 -8.833E-01 ,
249,-1.700E+01 -1.102E+02 -6.143E+00 6.492E+00 7.746E+00 -2.120E-01 ,
250,-2.698E+01 -1.121E+02 -5.024E+00 -2.454E+00 6.705E+00 -1.201E-01 ,
251,4.961E+00 -3.719E+00 -7.468E-01 1.621E+00 1.659E+00 -6.224E-04 ,
252,-2.057E+00 2.304E+01 2.670E+00 7.045E-01 2.234E+01 2.238E+00 ,
253,1.028E+00 8.028E+01 -4.720E-01 -3.527E-01 1.282E+00 -3.407E-01 ,
254,-1.473E+01 -3.436E+01 -1.473E+01 -7.554E-01 2.264E+01 6.934E-16 ,
255,-8.101E+00 -7.329E+01 -1.898E+00 -7.885E-01 3.966E+00 -5.840E-01 ,
256,-1.255E+01 -2.928E+01 -1.255E+01 9.276E-02 2.266E+01 0.000E+00 ,
257,1.664E+01 3.882E+01 1.664E+01 -6.559E+00 1.785E+01 0.000E+00 ,
258,-1.091E+01 -3.552E+01 -1.309E+01 4.217E-01 2.209E+01 -1.630E+00 ,
259,-2.862E+00 -9.725E+00 -1.754E+02 8.212E-01 2.847E+01 4.589E+00 ,
260,-9.535E+00 -7.736E+01 -8.572E-01 -6.511E-01 3.459E+00 1.979E-02 ,
261,-1.215E+01 -8.655E+01 -4.370E+00 -2.210E-01 3.037E+00 3.050E-01 ,
262,-1.744E+01 -4.070E+01 -1.744E+01 -1.854E+00 2.294E+01 0.000E+00 ,
263,-1.538E+01 -1.095E+02 -6.321E+00 7.922E+00 6.954E+00 2.569E-01 ,
264,4.857E+00 2.557E+01 1.049E+01 2.812E+00 3.255E+00 -3.104E-01 ,
265,1.100E+00 -8.287E+00 1.270E+00 -1.659E+00 2.891E+00 8.566E-02 ,
266,1.276E+00 -8.541E+00 1.270E+00 -1.581E+00 3.217E+00 2.994E-01 ,
267,-3.699E+01 -1.395E+02 -1.492E+01 -3.137E+00 1.868E+01 1.403E+00 ,
268,-4.151E+01 -9.686E+01 -4.151E+01 -3.788E+00 3.107E+01 0.000E+00 ,
269,-9.558E-01 6.698E+01 -3.768E+00 6.149E+00 -5.158E+00 3.071E+00 ,
270,-2.501E+01 -1.166E+02 -2.922E+00 -2.252E+00 1.020E+01 1.675E-01 ,
271,-3.852E+01 -1.089E+02 -4.408E+01 6.156E-01 3.404E+01 -4.255E+00 ,
272,3.460E-01 -1.038E+01 -1.558E+00 -9.854E-01 4.301E+00 -9.532E-02 ,
273,-4.293E+01 -1.425E+02 -1.930E+01 -1.259E+01 2.024E+01 2.816E+00 ,
274,-4.188E+01 -1.082E+02 -4.510E+01 -1.269E+01 3.296E+01 4.565E+00 ,
275,1.968E+00 -9.667E+00 -1.134E-01 -2.460E+00 3.075E+00 3.277E-01 ,
276,7.201E-01 -9.359E+00 4.185E+00 -3.914E-01 3.273E+01 7.925E-02 ,
