 Node ID, Tensor(Element Stresses (2D & 3D)),
220,3.412E+01 1.050E+02 1.954E+01 -1.191E+00 -2.462E+01 1.098E-01 ,
221,3.821E+01 1.180E+02 2.014E+01 9.363E-01 -2.202E+01 -1.969E-01 ,
222,3.479E+01 1.131E+02 1.698E+01 -2.048E+00 -2.034E+01 2.302E+00 ,
223,3.098E+01 1.064E+02 1.097E+01 -8.511E-01 -2.028E+01 1.011E+00 ,
224,2.300E+01 8.445E+01 7.874E+00 -1.017E+00 -1.556E+01 -1.232E+00 ,
225,2.319E+01 8.530E+01 8.163E+00 6.505E-01 -1.725E+01 1.511E-02 ,
226,2.283E+01 8.362E+01 9.874E+00 -1.269E+00 -1.671E+01 -8.156E-01 ,
227,2.230E+01 8.284E+01 7.575E+00 -2.936E-01 -1.407E+01 9.632E-01 ,
228,2.403E+01 8.709E+01 4.579E+00 3.982E-01 -1.328E+01 5.213E-01 ,
229,2.153E+01 8.076E+01 6.272E+00 3.957E-01 -1.288E+01 5.418E-01 ,
230,3.110E+01 1.099E+02 1.223E+01 1.275E+00 -2.715E+01 9.036E-01 ,
231,2.323E+01 8.820E+01 6.651E+00 4.989E-01 -1.550E+01 4.184E-01 ,
232,2.900E+01 1.043E+02 1.358E+01 1.265E+00 -2.670E+01 4.721E-01 ,
233,2.339E+01 9.374E+01 7.660E+00 1.959E+00 -1.711E+01 4.871E-02 ,
234,2.535E+00 3.995E+01 8.946E-01 9.715E-01 -5.165E+00 -3.753E-01 ,
235,2.582E+01 9.968E+01 1.790E+01 3.119E-01 -2.839E+01 2.165E-01 ,
236,2.253E+01 9.353E+01 1.130E+01 2.123E+00 -2.006E+01 1.162E+00 ,
237,2.078E+01 9.550E+01 1.579E+01 2.020E+00 -2.299E+01 1.765E+00 ,
238,1.518E+01 8.172E+01 8.904E+00 1.427E+00 -1.579E+01 3.958E-01 ,
239,1.500E+00 3.267E+01 8.770E-01 1.345E+00 -4.345E+00 -2.817E-01 ,
240,8.153E-01 2.746E+01 9.273E-01 1.730E+00 -3.418E+00 -3.077E-01 ,
241,1.958E-01 2.212E+01 4.858E-01 1.964E+00 -2.502E+00 -9.385E-02 ,
242,-1.592E-01 1.794E+01 2.049E-01 1.896E+00 -2.172E+00 2.155E-02 ,
243,-3.873E-01 1.404E+01 1.850E-01 1.683E+00 -2.119E+00 -1.075E-02 ,
244,-6.907E-01 1.023E+01 9.185E-02 1.715E+00 -1.914E+00 -2.894E-02 ,
245,-7.281E-01 7.897E+00 1.715E-01 1.424E+00 -1.607E+00 -7.540E-03 ,
246,-9.062E-01 4.947E+00 1.631E-01 1.279E+00 -1.294E+00 -2.890E-02 ,
247,-9.575E-01 2.761E+00 1.764E-01 9.542E-01 -1.128E+00 4.916E-02 ,
248,-9.866E-01 1.261E+00 2.109E-01 7.688E-01 -7.262E-01 2.585E-02 ,
249,2.139E+01 1.170E+02 1.203E+01 5.864E+00 -2.109E+01 2.877E+00 ,
250,1.002E+01 8.104E+01 6.552E+00 9.811E-01 -1.424E+01 1.908E+00 ,
251,6.218E+00 6.593E+01 3.099E+00 -3.843E-01 -8.530E+00 3.275E-01 ,
252,7.097E+00 6.872E+01 2.426E+00 6.821E-02 -8.997E+00 9.360E-01 ,
253,1.230E+01 7.594E+01 2.389E+00 2.184E+00 -9.312E+00 1.061E+00 ,
254,1.336E+01 7.023E+01 4.605E+00 1.349E+00 -1.154E+01 5.476E-02 ,
255,1.755E+00 5.137E+01 1.326E+00 -1.001E+00 -7.997E+00 1.280E+00 ,
