 Element ID, Tensor(Element Stresses (2D & 3D)),
183,6.122E+00 3.042E+00 3.731E+00 -1.084E+00 7.639E-01 1.023E+01 ,
184,1.898E+01 1.074E+01 5.608E+01 -9.715E-01 -1.792E+01 1.393E+01 ,
185,-2.627E-01 6.537E-01 6.107E-01 3.606E-01 7.547E-01 -1.828E+00 ,
186,7.486E-02 1.455E-02 1.533E-01 -5.017E-03 1.561E-01 -1.018E-01 ,
187,2.323E+01 1.983E+01 2.255E+01 1.336E+00 1.443E+00 2.744E+00 ,
188,3.247E+00 2.209E+00 3.290E+00 6.518E-01 8.375E-01 -8.738E+00 ,
189,4.055E-01 -2.825E-01 4.124E+00 -2.053E-02 -1.390E-02 5.544E+00 ,
190,9.501E+00 7.690E+00 7.790E+00 3.974E+00 7.833E-01 2.666E-01 ,
191,-1.525E+01 -6.478E+00 -1.214E+00 -2.893E+00 1.797E+00 8.560E-01 ,
192,-1.430E+01 -6.809E+00 -2.321E+00 -3.380E+00 1.754E+00 3.710E+00 ,
193,1.237E+01 -1.379E+00 1.923E+00 -3.508E+00 1.033E+00 4.526E+00 ,
194,-2.897E-01 5.539E-01 -3.372E-01 -7.389E-01 2.312E-01 6.277E-02 ,
195,3.658E+00 1.643E-02 3.013E-01 -1.755E+00 2.253E-01 3.278E+00 ,
196,1.422E+00 -1.010E+00 -8.518E-01 -2.010E+00 -1.099E-01 3.186E+00 ,
197,5.078E+00 1.648E+00 2.500E+00 -1.875E+00 1.797E-01 7.468E+00 ,
198,-2.231E+01 -4.842E+01 -3.282E+01 3.613E-01 -4.125E+00 2.419E+00 ,
199,-5.337E+00 -1.235E+00 -1.391E+00 5.856E-01 -3.549E-01 1.275E+00 ,
200,-5.991E+00 2.243E+00 -4.572E+00 -9.969E-01 -5.286E+00 8.476E-01 ,
201,8.144E+00 1.107E+00 4.965E+00 -8.104E-01 2.394E-01 1.333E+01 ,
202,-1.516E+01 1.039E+00 3.239E+00 -1.318E+00 -6.642E-02 -1.572E+00 ,
203,7.391E+00 7.827E+00 1.891E+01 2.778E-01 -1.354E+00 -7.688E-01 ,
204,1.738E+00 1.414E+00 9.994E-01 -7.037E-01 -9.917E-01 6.541E-01 ,
205,-1.478E+01 -5.743E+00 6.682E-01 -5.042E+00 -2.286E+00 -2.141E+00 ,
206,5.891E-01 -5.538E+00 3.010E+01 3.344E+00 2.793E+00 2.544E+00 ,
207,4.832E+00 -1.140E+00 -1.115E+00 -4.204E+00 -6.832E-02 2.619E-01 ,
208,2.177E+00 -1.165E+00 2.223E+01 -2.675E-01 -1.395E+00 -1.734E+00 ,
209,5.238E+00 -5.450E+00 -1.766E+00 -3.333E+00 3.088E-01 4.505E+00 ,
210,6.175E+00 3.027E+00 2.646E+00 -5.169E+00 -1.604E+00 -3.182E-01 ,
211,-7.357E-01 1.106E+00 6.553E+00 -3.198E-01 -5.808E-01 1.085E+01 ,
212,3.840E+00 -1.924E+00 -7.018E-01 -1.983E+00 1.444E-01 1.225E+01 ,
213,-7.976E-01 3.079E-01 -4.667E-01 1.108E-01 -2.219E-01 1.683E-01 ,
214,2.830E+00 -3.689E+00 -1.919E+00 -1.259E+00 4.970E-01 1.220E+01 ,
215,6.697E+00 2.459E+00 4.537E+00 -1.117E+00 1.616E-01 1.180E+01 ,
216,2.607E-01 5.684E-01 5.135E-01 -5.144E-02 4.192E-01 -6.339E-01 ,
217,2.920E+01 1.120E-01 5.651E+00 -6.625E+00 1.277E+00 1.410E+01 ,
218,4.075E+00 -2.027E+00 1.684E+00 -1.290E+00 7.207E-02 1.316E+01 ,
219,4.293E-01 -3.973E-01 -1.297E-01 6.243E-01 -1.595E+00 8.231E+00 ,
220,-1.263E+01 -1.261E+01 -1.564E+01 2.259E-02 4.733E+00 -5.040E+00 ,
