 Element ID, Tensor(Element Stresses (2D & 3D)),
13192,-1.601E-02 1.499E+00 9.843E-02 -1.235E-02 5.254E-01 -4.594E-02 ,
13191,-6.243E-01 1.168E-01 -1.370E-01 3.031E-02 5.239E-01 3.536E-02 ,
13190,1.609E-01 2.334E-01 -4.325E-02 1.183E-01 2.023E-01 6.758E-02 ,
13189,-3.675E-01 1.167E+00 -2.937E-01 1.197E-01 -2.755E-01 1.356E-01 ,
13188,8.727E-02 1.608E+00 2.281E-01 -2.138E-01 -6.601E-01 1.440E-01 ,
13187,5.126E-01 5.174E-01 3.532E-01 -2.674E-01 -1.933E-01 8.136E-03 ,
13186,-7.888E-01 2.253E-01 -4.691E-01 -2.505E-01 5.963E-01 2.979E-01 ,
13185,-5.117E-01 6.211E-01 -3.451E-01 1.285E-01 7.589E-01 3.718E-02 ,
13184,5.678E-01 9.196E-01 2.729E-01 4.610E-02 -3.741E-01 9.396E-03 ,
13183,-4.631E-01 7.318E-01 -5.894E-01 -5.555E-02 -3.619E-01 -1.370E-02 ,
13182,2.748E-01 2.033E-01 1.769E-01 -1.479E-01 6.050E-02 -4.925E-02 ,
13181,-1.607E-01 -1.601E-01 -3.071E-01 -4.212E-02 7.554E-02 2.667E-03 ,
13180,-2.546E-01 2.177E-02 -3.107E-01 -3.322E-01 -2.487E-01 5.446E-02 ,
13179,-2.683E+00 -3.365E+00 -2.278E+00 1.187E-02 -3.286E-01 5.793E-02 ,
13178,2.305E-01 4.995E-01 1.255E-01 3.927E-01 -1.114E-01 -4.965E-02 ,
13177,1.578E-01 2.211E-01 1.982E-02 -7.358E-02 -1.040E-01 5.177E-03 ,
13176,6.972E-01 1.545E+00 5.584E-01 2.043E-01 -3.986E-01 -2.435E-02 ,
13175,-1.684E-01 -1.408E-01 -7.332E-02 4.266E-02 -5.643E-02 -7.586E-03 ,
13174,-6.288E-01 1.329E-01 -7.034E-02 8.031E-03 5.230E-01 -4.079E-03 ,
13173,2.418E-01 2.572E-01 2.693E-01 -1.024E-01 -2.268E-01 1.358E-02 ,
13172,-2.673E-01 3.550E-01 -2.278E-01 -3.197E-01 -1.866E-01 5.231E-02 ,
13171,8.466E-02 4.329E-01 -2.150E-01 1.324E-01 -3.685E-01 1.219E-02 ,
13170,4.291E-01 4.213E-01 7.211E-02 5.195E-03 -2.008E-01 -5.010E-03 ,
13169,-9.515E-02 -2.964E-01 -3.066E-01 9.245E-01 -5.667E-01 -1.183E-01 ,
13168,2.789E-01 5.695E-01 6.047E-02 1.024E-01 -8.240E-02 -4.599E-02 ,
13167,6.509E-01 2.019E+00 1.025E+00 -6.941E-02 2.560E-01 6.462E-02 ,
