 Element ID, Tensor(Element Stresses (2D & 3D)),
152,7.958E-02 6.261E-02 -6.042E-01 -1.059E-02 5.834E-03 -3.406E-02 ,
153,-4.219E-01 -3.894E-01 -3.524E+00 4.016E-02 -5.486E-03 -1.173E-01 ,
154,3.438E-01 3.139E-01 1.539E-03 4.069E-02 -1.594E-01 9.566E-02 ,
155,1.118E-01 2.058E-01 4.840E-01 -7.541E-02 1.189E-02 -1.482E-01 ,
156,-1.305E-01 -1.392E-01 -3.888E-03 -1.413E-02 -1.634E-02 2.293E-01 ,
157,3.071E-01 3.600E-01 1.340E+00 9.571E-03 -1.427E-02 1.902E-01 ,
158,2.129E-02 2.474E-02 4.894E-01 2.470E-03 -7.250E-03 6.704E-02 ,
159,5.068E-03 -5.585E-03 -1.746E-02 2.453E-04 -2.488E-04 1.174E-02 ,
160,-1.420E-01 -1.859E-02 -1.507E-01 -8.017E-03 -7.915E-03 2.407E-01 ,
161,-8.813E-02 3.882E-02 -1.353E-03 4.934E-03 -4.074E-03 3.383E-02 ,
162,-2.864E-02 -1.318E-02 -1.575E-01 -1.637E-04 -6.523E-03 1.079E-01 ,
163,1.479E-04 -5.315E-04 -3.832E-04 -3.037E-04 3.416E-04 -4.046E-04 ,
164,3.018E-04 -1.013E-03 -9.252E-04 4.567E-04 1.187E-03 6.470E-04 ,
165,-1.956E-02 2.468E-03 -6.562E-03 8.369E-04 -2.304E-03 -1.909E-02 ,
166,4.693E-03 6.967E-03 9.287E-03 -4.321E-04 6.558E-04 1.346E-02 ,
167,-2.627E-01 -2.200E-02 -7.868E-02 2.135E-03 3.161E-03 1.326E-01 ,
168,-1.273E+00 -6.413E-01 -6.870E-01 6.122E-03 1.602E-02 3.154E-01 ,
169,2.668E-03 1.292E-03 7.356E-04 -2.895E-04 -8.871E-04 7.318E-04 ,
170,-3.813E-05 -8.276E-04 -1.334E-03 -8.640E-05 4.594E-04 -8.538E-05 ,
171,1.072E-01 6.609E-02 1.882E-01 -1.843E-04 6.337E-03 1.939E-01 ,
172,-1.707E-04 -1.962E-04 2.077E-03 2.176E-05 3.120E-04 -1.542E-04 ,
173,-7.916E-01 -2.033E-01 -3.594E-01 -5.556E-02 9.748E-03 1.877E-01 ,
174,-2.435E-01 -9.680E-02 -1.194E-01 -1.318E-02 1.882E-02 4.422E-02 ,
175,3.149E-04 5.461E-05 -3.486E-04 -1.115E-04 3.049E-04 -1.475E-04 ,
176,5.437E-02 8.749E-02 -1.759E-01 2.167E-03 -3.457E-02 3.138E-02 ,
177,2.991E-02 -4.304E-02 1.576E-02 -8.006E-03 1.239E-02 5.379E-02 ,
178,-5.811E-02 -2.516E-02 -1.731E-03 1.902E-03 -3.816E-03 -7.646E-03 ,
179,1.575E-01 1.081E-01 1.541E-01 1.786E-02 2.705E-02 6.547E-02 ,
180,3.073E-02 9.077E-03 2.277E-02 -5.717E-03 9.554E-04 -2.248E-02 ,
181,-3.042E-01 -4.152E-01 1.407E+00 -4.838E-03 -1.857E-02 -1.172E-01 ,
182,-1.459E-01 -1.819E-01 -1.408E-01 -9.883E-03 -5.811E-03 2.404E-01 ,
183,-1.728E-01 1.476E-01 1.188E+00 -4.163E-02 -3.017E-02 -1.291E-02 ,
184,-5.481E-01 -2.044E-02 8.785E-01 -2.097E-02 -2.577E-01 -8.272E-02 ,
185,-3.698E-02 -1.040E-02 -8.612E-03 3.716E-03 -1.259E-03 -5.379E-03 ,
186,6.488E-02 7.902E-02 -2.749E-01 -4.833E-04 -9.514E-03 4.900E-02 ,
187,-3.946E-01 -1.279E-01 1.757E-01 -2.612E-04 -2.926E-02 3.001E-02 ,
188,1.723E-02 8.672E-03 -1.493E-01 -5.206E-03 -7.480E-04 2.013E-02 ,
189,1.161E-02 3.410E-02 5.959E-02 -4.564E-05 1.267E-03 8.225E-03 ,
190,-7.247E-02 -7.925E-02 -8.011E-01 -7.879E-03 1.894E-02 -3.586E-02 ,
191,3.100E-02 4.609E-04 -1.231E+00 3.836E-02 -3.957E-03 4.697E-03 ,
192,-3.620E-01 -2.328E-01 1.916E+00 3.140E-02 -1.420E-01 1.403E-01 ,
193,2.171E-03 1.528E-03 3.178E-03 1.361E-03 -4.611E-04 2.038E-03 ,
194,-2.702E-02 1.661E-02 6.475E-01 -2.946E-02 -1.168E-02 2.198E-01 ,
195,1.578E-01 1.689E-01 5.179E-01 -1.251E-02 -1.371E-02 3.175E-01 ,
196,-1.346E-02 -3.828E-03 1.154E-03 -7.612E-04 7.520E-04 -1.950E-03 ,
197,-2.778E-01 -5.869E-01 -1.068E+00 2.000E-01 2.992E-01 8.771E-02 ,
198,-3.126E-01 -3.722E-01 1.334E+00 -1.713E-02 5.716E-02 -9.139E-02 ,
199,-7.402E-03 1.558E-02 7.578E-01 -1.141E-02 -3.484E-03 1.971E-01 ,
200,-2.753E-02 -1.065E-02 -3.644E-02 1.240E-03 -2.313E-03 -3.029E-02 ,
201,-3.757E-02 -9.193E-03 -2.350E-02 3.728E-03 -1.732E-03 -2.497E-02 ,
202,-2.035E-02 -2.313E-03 7.309E-03 1.515E-03 -1.397E-03 -1.340E-03 ,
203,1.104E-02 -1.330E-02 -2.299E-02 -3.135E-03 -3.419E-03 -3.945E-03 ,
204,4.249E-01 3.890E-01 3.469E-01 -6.009E-02 2.850E-02 -1.551E-01 ,
205,3.191E-03 3.169E-03 3.923E-03 -3.005E-04 5.679E-04 1.525E-02 ,
206,-1.011E-01 -1.269E-01 -1.627E-01 -1.065E-02 -1.010E-02 -9.568E-02 ,
207,1.050E-02 7.983E-04 -3.135E-03 6.189E-04 3.227E-04 -1.333E-03 ,
208,3.618E-02 3.445E-01 3.949E-01 3.998E-02 -1.926E-01 2.784E-03 ,
209,-1.278E-01 -5.723E-02 -3.005E-02 5.653E-03 -5.797E-03 7.362E-02 ,
210,2.693E-02 4.825E-03 -6.150E-03 -4.775E-04 4.641E-06 -1.520E-02 ,
211,3.169E-04 -3.142E-01 -1.093E+00 8.641E-02 4.231E-01 6.186E-02 ,
212,-5.876E-03 -1.636E-02 6.232E-03 5.017E-03 8.126E-03 -5.624E-02 ,
213,2.076E-01 2.317E-01 5.115E-01 -4.842E-02 -1.101E-01 5.900E-02 ,
214,-1.132E-01 -3.465E-01 -8.521E-01 -3.083E-01 6.365E-01 2.760E-02 ,
215,4.474E-04 -1.202E-02 -2.758E-02 1.537E-03 2.956E-03 1.361E-02 ,
216,1.194E-02 -1.010E-02 4.207E-02 -4.879E-03 2.617E-03 -3.603E-02 ,
217,2.306E-02 7.125E-03 6.561E-03 -3.282E-03 -4.011E-04 -4.639E-03 ,
218,2.443E-02 9.270E-04 1.788E-02 -4.896E-03 -1.903E-03 -2.166E-02 ,
219,-5.048E-02 -3.977E-02 -1.207E+00 2.525E-02 -1.994E-02 1.012E-01 ,
220,9.567E-02 9.024E-02 6.167E-01 2.139E-02 1.170E-02 1.702E-01 ,
221,-3.873E-01 -3.656E-01 -1.894E+00 5.377E-05 1.645E-02 -9.560E-02 ,
222,5.326E-02 2.735E-02 8.824E-02 -5.386E-05 4.375E-03 1.618E-01 ,
223,1.289E-01 1.428E-01 -5.880E-01 2.623E-03 -1.547E-02 9.992E-03 ,
224,-3.073E-01 5.002E-02 2.219E-02 -4.804E-02 -2.284E-02 1.983E-01 ,
225,-3.118E-01 -1.693E-01 -2.454E-01 -3.862E-03 -1.555E-02 1.027E-01 ,
226,2.492E-02 1.013E-02 3.271E-03 -1.426E-04 8.180E-04 -4.469E-04 ,
227,-3.490E-02 -4.889E-03 -3.625E-02 5.850E-03 1.408E-03 -3.220E-02 ,
228,-2.069E-01 2.227E-02 -1.398E-01 1.606E-02 -3.913E-03 1.513E-01 ,
229,-2.128E-02 1.291E-02 1.662E-01 9.206E-03 -2.199E-03 2.752E-01 ,
230,-3.991E-02 -3.440E-01 -5.063E-01 -8.344E-03 2.097E-01 -1.678E-02 ,
231,-8.542E-01 -1.219E+00 -1.763E+00 -3.697E-01 7.520E-01 1.356E-01 ,
